id_treatment,id_inoc,id_faeces,starting_date,species,material,mass,hydration,production_date,forming_date,colection_date,total-weight,ph,water_content,sample_weight,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted,enterococcus_counted,comments,inoculum_age,mean_growth_speed,time_period,difference,time_step
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_8,NA,8
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_9,NA,9
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_1,NA,1
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_2,NA,2
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_3,NA,3
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_4,NA,4
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_5,NA,5
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_6,NA,6
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_7,NA,7
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_8,NA,8
7,7,1,2025-04-21T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_9,NA,9
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_1,NA,1
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_2,NA,2
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_3,NA,3
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_4,NA,4
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_5,NA,5
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_6,NA,6
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_7,NA,7
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_8,NA,8
